"","Država","Leto","Spremenljivka","Vrednost"
"1","Switzerland",2015,"Happiness.Rank",1
"2","Iceland",2015,"Happiness.Rank",2
"3","Denmark",2015,"Happiness.Rank",3
"4","Norway",2015,"Happiness.Rank",4
"5","Canada",2015,"Happiness.Rank",5
"6","Finland",2015,"Happiness.Rank",6
"7","Netherlands",2015,"Happiness.Rank",7
"8","Sweden",2015,"Happiness.Rank",8
"9","New Zealand",2015,"Happiness.Rank",9
"10","Australia",2015,"Happiness.Rank",10
"11","Israel",2015,"Happiness.Rank",11
"12","Costa Rica",2015,"Happiness.Rank",12
"13","Austria",2015,"Happiness.Rank",13
"14","Mexico",2015,"Happiness.Rank",14
"15","United States",2015,"Happiness.Rank",15
"16","Brazil",2015,"Happiness.Rank",16
"17","Luxembourg",2015,"Happiness.Rank",17
"18","Ireland",2015,"Happiness.Rank",18
"19","Belgium",2015,"Happiness.Rank",19
"20","United Arab Emirates",2015,"Happiness.Rank",20
"21","United Kingdom",2015,"Happiness.Rank",21
"22","Venezuela",2015,"Happiness.Rank",22
"23","Singapore",2015,"Happiness.Rank",23
"24","Panama",2015,"Happiness.Rank",24
"25","Germany",2015,"Happiness.Rank",25
"26","Chile",2015,"Happiness.Rank",26
"27","Qatar",2015,"Happiness.Rank",27
"28","France",2015,"Happiness.Rank",28
"29","Argentina",2015,"Happiness.Rank",29
"30","Czech Republic",2015,"Happiness.Rank",30
"31","Uruguay",2015,"Happiness.Rank",31
"32","Colombia",2015,"Happiness.Rank",32
"33","Thailand",2015,"Happiness.Rank",33
"34","Saudi Arabia",2015,"Happiness.Rank",34
"35","Spain",2015,"Happiness.Rank",35
"36","Malta",2015,"Happiness.Rank",36
"37","Taiwan",2015,"Happiness.Rank",37
"38","Kuwait",2015,"Happiness.Rank",38
"39","Trinidad and Tobago",2015,"Happiness.Rank",39
"40","El Salvador",2015,"Happiness.Rank",40
"41","Guatemala",2015,"Happiness.Rank",41
"42","Uzbekistan",2015,"Happiness.Rank",42
"43","Slovakia",2015,"Happiness.Rank",43
"44","Japan",2015,"Happiness.Rank",44
"45","South Korea",2015,"Happiness.Rank",45
"46","Ecuador",2015,"Happiness.Rank",46
"47","Bahrain",2015,"Happiness.Rank",47
"48","Italy",2015,"Happiness.Rank",48
"49","Bolivia",2015,"Happiness.Rank",49
"50","Moldova",2015,"Happiness.Rank",50
"51","Paraguay",2015,"Happiness.Rank",51
"52","Kazakhstan",2015,"Happiness.Rank",52
"53","Slovenia",2015,"Happiness.Rank",53
"54","Lithuania",2015,"Happiness.Rank",54
"55","Nicaragua",2015,"Happiness.Rank",55
"56","Peru",2015,"Happiness.Rank",56
"57","Belarus",2015,"Happiness.Rank",57
"58","Poland",2015,"Happiness.Rank",58
"59","Malaysia",2015,"Happiness.Rank",59
"60","Croatia",2015,"Happiness.Rank",60
"61","Libya",2015,"Happiness.Rank",61
"62","Russia",2015,"Happiness.Rank",62
"63","Jamaica",2015,"Happiness.Rank",63
"64","North Cyprus",2015,"Happiness.Rank",64
"65","Cyprus",2015,"Happiness.Rank",65
"66","Algeria",2015,"Happiness.Rank",66
"67","Kosovo",2015,"Happiness.Rank",67
"68","Turkmenistan",2015,"Happiness.Rank",68
"69","Mauritius",2015,"Happiness.Rank",69
"70","Hong Kong",2015,"Happiness.Rank",70
"71","Estonia",2015,"Happiness.Rank",71
"72","Indonesia",2015,"Happiness.Rank",72
"73","Vietnam",2015,"Happiness.Rank",73
"74","Turkey",2015,"Happiness.Rank",74
"75","Kyrgyzstan",2015,"Happiness.Rank",75
"76","Nigeria",2015,"Happiness.Rank",76
"77","Bhutan",2015,"Happiness.Rank",77
"78","Azerbaijan",2015,"Happiness.Rank",78
"79","Pakistan",2015,"Happiness.Rank",79
"80","Jordan",2015,"Happiness.Rank",80
"81","Montenegro",2015,"Happiness.Rank",81
"82","China",2015,"Happiness.Rank",82
"83","Zambia",2015,"Happiness.Rank",83
"84","Romania",2015,"Happiness.Rank",84
"85","Serbia",2015,"Happiness.Rank",85
"86","Portugal",2015,"Happiness.Rank",86
"87","Latvia",2015,"Happiness.Rank",87
"88","Philippines",2015,"Happiness.Rank",88
"89","Morocco",2015,"Happiness.Rank",89
"90","Macedonia",2015,"Happiness.Rank",90
"91","Albania",2015,"Happiness.Rank",91
"92","Bosnia and Herzegovina",2015,"Happiness.Rank",92
"93","Dominican Republic",2015,"Happiness.Rank",93
"94","Mongolia",2015,"Happiness.Rank",94
"95","Greece",2015,"Happiness.Rank",95
"96","Lebanon",2015,"Happiness.Rank",96
"97","Hungary",2015,"Happiness.Rank",97
"98","Honduras",2015,"Happiness.Rank",98
"99","Tajikistan",2015,"Happiness.Rank",99
"100","Tunisia",2015,"Happiness.Rank",100
"101","Palestinian Territories",2015,"Happiness.Rank",101
"102","Bangladesh",2015,"Happiness.Rank",102
"103","Iran",2015,"Happiness.Rank",103
"104","Ukraine",2015,"Happiness.Rank",104
"105","Iraq",2015,"Happiness.Rank",105
"106","South Africa",2015,"Happiness.Rank",106
"107","Ghana",2015,"Happiness.Rank",107
"108","Zimbabwe",2015,"Happiness.Rank",108
"109","Liberia",2015,"Happiness.Rank",109
"110","India",2015,"Happiness.Rank",110
"111","Sudan",2015,"Happiness.Rank",111
"112","Haiti",2015,"Happiness.Rank",112
"113","Congo (Kinshasa)",2015,"Happiness.Rank",113
"114","Nepal",2015,"Happiness.Rank",114
"115","Ethiopia",2015,"Happiness.Rank",115
"116","Sierra Leone",2015,"Happiness.Rank",116
"117","Mauritania",2015,"Happiness.Rank",117
"118","Kenya",2015,"Happiness.Rank",118
"119","Armenia",2015,"Happiness.Rank",119
"120","Botswana",2015,"Happiness.Rank",120
