"","Država","Leto","Dystopia.Preostanek"
"1","Switzerland",2015,2.51738
"2","Iceland",2015,2.70201
"3","Denmark",2015,2.49204
"4","Norway",2015,2.46531
"5","Canada",2015,2.45176
"6","Finland",2015,2.61955
"7","Netherlands",2015,2.4657
"8","Sweden",2015,2.37119
"9","New Zealand",2015,2.26425
"10","Australia",2015,2.26646
"11","Israel",2015,3.08854
"12","Costa Rica",2015,3.17728
"13","Austria",2015,2.5332
"14","Mexico",2015,3.60214
"15","United States",2015,2.51011
"16","Brazil",2015,3.26001
"17","Luxembourg",2015,1.96961
"18","Ireland",2015,1.9757
"19","Belgium",2015,2.41484
"20","United Arab Emirates",2015,2.24743
"21","United Kingdom",2015,1.96994
"22","Venezuela",2015,3.19131
"23","Singapore",2015,1.88501
"24","Panama",2015,2.84848
"25","Germany",2015,2.11569
"26","Chile",2015,2.67585
"27","Qatar",2015,1.55674
"28","France",2015,2.21126
"29","Argentina",2015,2.836
"30","Czech Republic",2015,2.67782
"31","Uruguay",2015,2.32142
"32","Colombia",2015,2.85737
"33","Thailand",2015,2.31945
"34","Saudi Arabia",2015,2.43872
"35","Spain",2015,2.12367
"36","Malta",2015,1.6488
"37","Taiwan",2015,2.32323
"38","Kuwait",2015,1.87634
"39","Trinidad and Tobago",2015,2.26882
"40","El Salvador",2015,3.035
"41","Guatemala",2015,2.74255
"42","Uzbekistan",2015,2.23741
"43","Slovakia",2015,2.24639
"44","Japan",2015,1.68435
"45","South Korea",2015,2.21978
"46","Ecuador",2015,2.53942
"47","Bahrain",2015,1.73797
"48","Italy",2015,2.02518
"49","Bolivia",2015,2.82334
"50","Moldova",2015,3.10712
"51","Paraguay",2015,2.18896
"52","Kazakhstan",2015,2.24729
"53","Slovenia",2015,1.61583
"54","Lithuania",2015,2.44649
"55","Nicaragua",2015,2.32407
"56","Peru",2015,2.5945
"57","Belarus",2015,2.1309
"58","Poland",2015,1.86565
"59","Malaysia",2015,1.88541
"60","Croatia",2015,2.75414
"61","Libya",2015,2.09066
"62","Russia",2015,2.27394
"63","Jamaica",2015,2.32038
"64","North Cyprus",2015,1.59888
"65","Cyprus",2015,1.88931
"66","Algeria",2015,2.43209
"67","Kosovo",2015,2.76579
"68","Turkmenistan",2015,1.86984
"69","Mauritius",2015,1.76145
"70","Hong Kong",2015,0.65429
"71","Estonia",2015,1.58782
"72","Indonesia",2015,1.86399
"73","Vietnam",2015,2.20173
"74","Turkey",2015,2.08528
"75","Kyrgyzstan",2015,2.2327
"76","Nigeria",2015,2.89319
"77","Bhutan",2015,1.63794
"78","Azerbaijan",2015,2.00073
"79","Pakistan",2015,3.10709
"80","Jordan",2015,1.87996
"81","Montenegro",2015,2.10017
"82","China",2015,1.8604
"83","Zambia",2015,2.6343
"84","Romania",2015,1.93129
"85","Serbia",2015,2.025
"86","Portugal",2015,1.26462
"87","Latvia",2015,1.62215
"88","Philippines",2015,1.7536
"89","Morocco",2015,2.45373
"90","Macedonia",2015,1.73933
"91","Albania",2015,1.89894
"92","Bosnia and Herzegovina",2015,2.06367
"93","Dominican Republic",2015,1.21305
"94","Mongolia",2015,1.34759
"95","Greece",2015,1.80101
"96","Lebanon",2015,1.57059
"97","Hungary",2015,1.24074
"98","Honduras",2015,1.84408
"99","Tajikistan",2015,2.11399
"100","Tunisia",2015,2.12466
"101","Palestinian Territories",2015,2.04384
"102","Bangladesh",2015,2.51767
"103","Iran",2015,1.6944
"104","Ukraine",2015,1.5714
"105","Iraq",2015,1.95335
"106","South Africa",2015,1.71956
"107","Ghana",2015,2.30919
"108","Zimbabwe",2015,2.44191
"109","Liberia",2015,2.77729
"110","India",2015,2.27513
"111","Sudan",2015,2.20857
"112","Haiti",2015,2.24173
"113","Congo (Kinshasa)",2015,2.86712
"114","Nepal",2015,1.95637
"115","Ethiopia",2015,2.44876
"116","Sierra Leone",2015,2.51009
"117","Mauritania",2015,2.11773
"118","Kenya",2015,1.78555
"119","Armenia",2015,1.75873
"120","Botswana",2015,1.46181
"121","Myanmar",2015,1.41805
"122","Georgia",2015,1.59541
"123","Malawi",2015,2.80791
"124","Sri Lanka",2015,0.67108
"125","Cameroon",2015,1.95071
"126","Bulgaria",2015,0.89991
"127","Egypt",2015,1.59927
"128","Yemen",2015,1.92313
"129","Angola",2015,1.94939
"130","Mali",2015,1.79293
"131","Congo (Brazzaville)",2015,1.68135
"132","Uganda",2015,1.42766
"133","Senegal",2015,1.44395
"134","Gabon",2015,0.99895
"135","Niger",2015,1.87877
"136","Cambodia",2015,0.98195
"137","Tanzania",2015,1.38079
"138","Madagascar",2015,1.851
"139","Chad",2015,1.94296
"140","Guinea",2015,1.99172
"141","Ivory Coast",2015,1.41723
"142","Burkina Faso",2015,1.46494
"143","Afghanistan",2015,1.9521
"144","Rwanda",2015,0.67042
"145","Benin",2015,1.63328
"146","Syria",2015,0.32858
"147","Burundi",2015,1.83302
"148","Togo",2015,1.56726
"149","Denmark",2016,2.73939
"150","Switzerland",2016,2.69463
"151","Iceland",2016,2.83137
"152","Norway",2016,2.66465
"153","Finland",2016,2.82596
"154","Canada",2016,2.70485
"155","Netherlands",2016,2.70749
"156","New Zealand",2016,2.47553
"157","Australia",2016,2.5465
"158","Sweden",2016,2.54734
"159","Israel",2016,3.31029
"160","Austria",2016,2.69343
"161","United States",2016,2.72782
"162","Costa Rica",2016,3.35168
"163","Germany",2016,2.50931
"164","Brazil",2016,3.50733
"165","Belgium",2016,2.61355
"166","Ireland",2016,2.15988
"167","Luxembourg",2016,2.11055
"168","Mexico",2016,3.55906
"169","Singapore",2016,1.99375
"170","United Kingdom",2016,2.14999
"171","Chile",2016,2.95505
"172","Panama",2016,3.00559
"173","Argentina",2016,3.12985
"174","Czech Republic",2016,2.96211
"175","United Arab Emirates",2016,2.21507
"176","Uruguay",2016,2.67139
"177","Malta",2016,1.99032
"178","Colombia",2016,3.17471
"179","France",2016,2.4744
"180","Thailand",2016,2.5796
"181","Saudi Arabia",2016,2.61482
"182","Taiwan",2016,2.61523
"183","Qatar",2016,1.58224
"184","Spain",2016,2.39663
"185","Algeria",2016,3.40904
"186","Guatemala",2016,3.19863
"187","Kuwait",2016,2.28085
"188","Bahrain",2016,2.27405
"189","Trinidad and Tobago",2016,2.51394
"190","Venezuela",2016,2.97468
"191","Slovakia",2016,2.61065
"192","El Salvador",2016,3.22134
"193","Malaysia",2016,2.35384
"194","Nicaragua",2016,2.82428
"195","Uzbekistan",2016,2.34638
"196","Italy",2016,2.34918
"197","Ecuador",2016,2.77366
"198","Japan",2016,1.80584
"199","Kazakhstan",2016,2.49325
"200","Moldova",2016,3.38007
"201","Russia",2016,2.59115
"202","Poland",2016,2.20035
"203","South Korea",2016,2.35015
"204","Bolivia",2016,2.91635
"205","Lithuania",2016,2.60525
"206","Belarus",2016,2.38582
"207","North Cyprus",2016,1.93447
"208","Slovenia",2016,1.79522
"209","Peru",2016,2.73117
"210","Turkmenistan",2016,2.21489
"211","Mauritius",2016,2.20223
"212","Libya",2016,2.39374
"213","Latvia",2016,2.20859
"214","Cyprus",2016,2.04497
"215","Paraguay",2016,2.16091
"216","Romania",2016,2.45184
"217","Estonia",2016,1.81985
"218","Jamaica",2016,2.35682
"219","Croatia",2016,2.52462
"220","Hong Kong",2016,0.92614
"221","Kosovo",2016,2.80998
"222","Turkey",2016,2.29074
"223","Indonesia",2016,2.03171
"224","Jordan",2016,2.20142
"225","Azerbaijan",2016,2.2735
"226","Philippines",2016,2.23484
"227","China",2016,2.17087
"228","Bhutan",2016,1.82916
"229","Kyrgyzstan",2016,2.28136
